title,authors,year,journal,category,access,url,doi,keywords,region,note,featured,pdf
"Advancing a framework for rapid assessment and economic valuation of wild pig damage to wetland terrain : year two of research at US Army Corps of Engineers Somerville Lake, Texas",McKee et al.,2025,U.S. Army Engineer Research and Development Center,Damage & economics,Open access,https://doi.org/10.21079/11681/49675,10.21079/11681/49675,wild hog damage to wetlands,Texas,,no,
The influence of the landscape and removal efforts on the economic damage of the invasive wild pig,Neary et al.,2025,Journal of Environmental Management,Damage & economics,Subscription,https://doi.org/10.1016/j.jenvman.2025.128017,10.1016/j.jenvman.2025.128017,wild pig removal effects,Mississippi Alluvial Valley,,no,
Leveraging multiple data sources to assess competition between introduced wild pigs and native deer,Parsons & Young,2025,Ecosphere,Ecology & impacts on wildlife,Open access,https://doi.org/10.1002/ecs2.70455,10.1002/ecs2.70455,wild pigs and deer,,,no,
"Testing the efficacy of surface swab sampling to determine postmortem submersion interval (PMSI), using the microbiome colonization of skeletal remains",Rose et al.,2025,Journal of Forensic Sciences,Disease & health,Open access,https://doi.org/10.1111/1556-4029.70039,10.1111/1556-4029.70039,disease transfer,,,no,
The spatial ecology of wild pigs (Sus scrofa) in southwest Florida,Satter et al.,2025,Wildlife Research,Ecology & impacts on wildlife,Subscription,https://doi.org/10.1071/WR25082,10.1071/WR25082,ecology of wild pigs,Florida,,no,
Toxic Baits as a Strategy for Controlling Invasive Wild Pigs: Acceptability Among Crop Producers,Selleck et al.,2025,Agriculture,Management & control,Open access,https://doi.org/10.3390/agriculture15060572,10.3390/agriculture15060572,survey of poison for pigs acceptability,States,,no,
"Quantifying wild pig (Sus scrofa) damage to corn, cotton, and peanut fields using unmanned aerial systems (UAS) in southwestern Georgia, USA",Smith et al.,2025,Crop Protection,Damage & economics,Subscription,https://doi.org/10.1016/j.cropro.2025.107233,10.1016/j.cropro.2025.107233,wild pig damage to wetlands,Georgia,,no,
Visually estimating body mass of wild pigs,Snow et al.,2025,Scientific Reports,Ecology & impacts on wildlife,Open access,https://doi.org/10.1038/s41598-025-22857-8,10.1038/s41598-025-22857-8,pig body mass,"Alabama, Texas, Hawaii, Guam, Queensland",,no,
Forty-five years of removal campaigns for feral ungulates reveal strategies for success and future directions,Snow et al.,2025,Biological Invasions,Management & control,Open access,https://doi.org/10.1007/s10530-025-03652-y,10.1007/s10530-025-03652-y,wild pig control,,,no,
Wild pigs impact reproductive season movements and space use of wild turkeys,Stoakley et al.,2025,Movement Ecology,Ecology & impacts on wildlife,Open access,https://doi.org/10.1186/s40462-025-00578-x,10.1186/s40462-025-00578-x,ecological impact,Texas,,no,
Land cover attributes affect the distribution of rooting damage by wild pigs ( Sus scrofa ),Stoakley et al.,2025,The Journal of Wildlife Management,Damage & economics,Open access,https://doi.org/10.1002/jwmg.70032,10.1002/jwmg.70032,wild pig distrobution,South Carolina,,no,
Impacts of Wild Pigs on Space Use and Movements of Wild Turkeys During Autumn and Winter,Stoakley et al.,2025,Ecology and Evolution,Ecology & impacts on wildlife,Open access,https://doi.org/10.1002/ece3.71403,10.1002/ece3.71403,wild pig impact on turkeys,Alabama,,no,
Comparison of removal and spatial mark‐resight models for estimating wild pig density,Taylor et al.,2025,The Journal of Wildlife Management,Management & control,Open access,https://doi.org/10.1002/jwmg.70054,10.1002/jwmg.70054,wild pig density,South Caroline,,no,
Evaluation of common trap types for capturing wild pigs,"Taylor, Buxton & Beasley",2025,Wildlife Society Bulletin,Management & control,Open access,https://wildlife.onlinelibrary.wiley.com/doi/10.1002/wsb.1567,10.1002/wsb.1567,,,"A four-state test of corral, drop, and passive net traps found all three can capture entire wild pig social groups when used well.",yes,
Contact between soft tick vectors of African swine fever virus and invasive wild pigs in the southeastern USA,Wisely et al.,2025,Parasites &amp; Vectors,Disease & health,Open access,https://doi.org/10.1186/s13071-025-06811-1,10.1186/s13071-025-06811-1,wild pigs and ticks,Florida,,no,
"Establishment of a One-Step Reverse-Transcription qPCR to Detect Getah Virus In Mosquitoes and Feral Swine in Alabama, USA",Zhong,2025,,Disease & health,Open access,,,mosquitos and feral swine disease transfer of getah virus,Alabama,,no,
Trichinella and Toxoplasma antibodies in U.S. wild pigs,Cleveland et al.,2024,Veterinary Parasitology,Disease & health,,https://pubmed.ncbi.nlm.nih.gov/38043480/,,,,"A national survey finding wild pigs carry antibodies to Trichinella and Toxoplasma gondii at higher rates than a decade earlier, a food-safety and zoonotic concern.",yes,
Resources safeguarded by preventing wild pig expansion,Jareb et al.,2024,Biology (Basel),Damage & economics,Open access,https://www.mdpi.com/2079-7737/13/9/670,,,,Analysis finding the national program safeguarded an estimated $40.2 billion in crops and pasture from 2014 to 2021.,yes,
Population response of eastern wild turkey to removal of wild pigs,McDonough et al.,2024,Journal of Wildlife Management,Ecology & impacts on wildlife,Open access,https://wildlife.onlinelibrary.wiley.com/doi/10.1002/jwmg.22662,10.1002/jwmg.22662,,,"After about 1,850 wild pigs were removed from Alabama sites, wild turkey abundance and occupancy rose, evidence that pig removal can locally benefit turkeys.",yes,
Economic impacts of wild pigs on producers of six crops,McKee et al.,2024,Agriculture,Damage & economics,Open access,https://www.mdpi.com/2077-0472/14/1/153,,,,"The first survey-based estimate of wild pig damage to producers of six row crops across eleven states, totaling roughly $700 million in a single year.",yes,
Survival and causes of mortality of introduced wild pigs in the presence of cougars,Parsons et al.,2024,Biological Invasions,Ecology & impacts on wildlife,Subscription,https://doi.org/10.1007/s10530-024-03470-8,10.1007/s10530-024-03470-8,wild pig as prey to cougers,California,,no,
Wild Hogs in the Water: Contested Infrastructural Ecologies of Reservoir Storage in Texas,Randle,2024,Antipode,Ecology & impacts on wildlife,Subscription,https://doi.org/10.1111/anti.13033,10.1111/anti.13033,wild hog water contamination,Texas,,no,
"Regional variation in demographics, reproduction, and body mass growth rates of wild pigs: Implications for population control",Snow et al.,2024,The Journal of Wildlife Management,Management & control,Subscription,https://doi.org/10.1002/jwmg.22697,10.1002/jwmg.22697,wild pig body mass growth,"Texas, Alabama, Hawai'I, Guam (Usa), And Queensland (Australia)",,no,
"Parasite prevalence in feral swine, Great Smoky Mountains National Park",England et al.,2023,Journal of Wildlife Diseases,Disease & health,,https://pubmed.ncbi.nlm.nih.gov/37151148/,,,,"Nearly all feral swine sampled in the park carried gastrointestinal parasites, several of them able to infect people and livestock.",yes,
Whole-sounder removal versus traditional control for reducing wild pig populations,Kilgo et al.,2023,Pest Management Science,Management & control,Open access,https://research.fs.usda.gov/treesearch/66639,,,,Removing the entire family group in a single event reduced pig density far more than conventional trapping.,yes,
Economic impacts of wild pigs on livestock producers in 13 states,McKee et al.,2023,Human–Wildlife Interactions,Damage & economics,Open access,https://digitalcommons.usu.edu/hwi/vol17/iss3/4/,,,,"A 13-state survey quantifying what wild pigs cost livestock producers through pasture degradation, property and infrastructure damage, and lost forage.",yes,
Cultural and regulatory factors influence the spread of wild pigs,Smith et al.,2023,Journal of Environmental Management,Spread & human dimensions,,https://pubmed.ncbi.nlm.nih.gov/37001426/,,,,"How hunting culture and uneven state regulations shape where wild pigs spread, and the policy changes that could slow it.",yes,
"Wild pig abundance, crop damage, and environmental impacts in response to control efforts",Treichler et al.,2023,Pest Management Science,Management & control,Open access,https://scijournals.onlinelibrary.wiley.com/doi/10.1002/ps.7671,10.1002/ps.7671,,,"Sustained, intensive control cut wild pig relative abundance by about 70% within 24 months and rooting damage by roughly 99%, direct evidence that coordinated removal works.",yes,
New World screwworm myiasis in feral swine (Uruguay),Altuna et al.,2021,Parasites & Vectors,Disease & health,Open access,https://link.springer.com/article/10.1186/s13071-020-04499-z,10.1186/s13071-020-04499-z,,,"The first documentation of New World screwworm in feral swine in South America, showing how wild pigs can act as reservoirs for a high-consequence transboundary pest.",yes,
Invasive wild pigs as primary nest predators for wild turkeys,Sanders et al.,2020,Scientific Reports,Ecology & impacts on wildlife,Open access,https://www.nature.com/articles/s41598-020-59543-w,10.1038/s41598-020-59543-w,,,"Camera evidence identifying invasive wild pigs as a leading predator of wild turkey nests, a direct threat to a valued native game species.",yes,
Reduced vertebrate diversity following feral swine invasions,Ivey et al.,2019,Ecology and Evolution,Ecology & impacts on wildlife,Open access,https://pmc.ncbi.nlm.nih.gov/articles/PMC6635915/,,,,"Forest sites invaded by feral swine showed lower native vertebrate diversity, with the effect holding across patches of every size.",yes,
Population size estimates of invasive wild pigs in the United States,Lewis et al.,2019,Biological Invasions,Spread & human dimensions,Subscription,https://link.springer.com/article/10.1007/s10530-019-01983-1,10.1007/s10530-019-01983-1,,,"National estimates of historical, current, and potential U.S. wild pig populations, documenting a steep upward trend and large areas of unfilled habitat.",yes,
Hunting as the main technique used to control wild pigs in Brazil,Rosa et al.,2018,Wildlife Society Bulletin,Management & control,Subscription,https://wildlife.onlinelibrary.wiley.com/doi/10.1002/wsb.851,10.1002/wsb.851,,,"A survey of wild pig control in Brazil found hunting is the dominant method, carried out mostly by volunteers and often outside legal channels.",yes,
Effectiveness of a bounty program for reducing wild pig densities,"Ditchkoff, Holtfreter & Williams",2017,Wildlife Society Bulletin,Management & control,Open access,https://wildlife.onlinelibrary.wiley.com/doi/10.1002/wsb.787,10.1002/wsb.787,,,"A bounty program failed to reduce wild pig numbers, with densities rising during the program, evidence that bounties are not an effective control tool.",yes,
Hog Heaven? Challenges of managing introduced wild pigs in natural areas,Keiter & Beasley,2017,Natural Areas Journal,Management & control,,https://bioone.org/journals/natural-areas-journal/volume-37/issue-1/043.037.0117/Hog-Heaven-Challenges-of-Managing-Introduced-Wild-Pigs-in-Natural/10.3375/043.037.0117.short,10.3375/043.037.0117.short,,,"A review of the impacts of wild pigs in natural areas, the traits that make them hard to remove, and what effective control and eradication require.",yes,
Biotic and abiotic factors predicting the global distribution of wild pigs,Lewis et al.,2017,Scientific Reports,Spread & human dimensions,,https://www.nature.com/articles/srep44152,,,,"Combining 129 global density estimates, the study shows that biotic factors like agriculture and vegetation sharply improve predictions of wild pig distribution and density.",yes,
Interpreting and predicting the spread of invasive wild pigs,"Snow, Jarzyna & VerCauteren",2017,Journal of Applied Ecology,Spread & human dimensions,Open access,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.12866,10.1111/1365-2664.12866,,,"A three-decade model found U.S. wild pig spread accelerated from about 6.5 to 12.6 km per year, driven by climate-matched expansion plus human-assisted jumps.",yes,
Anthropogenic factors predict movement of an invasive species,Tabak et al.,2017,Ecosphere,Spread & human dimensions,Open access,https://digitalcommons.unl.edu/icwdm_usdanwrc/1968/,10.1002/ecs2.1844,,,"Evidence that human activity, not natural dispersal, drives most wild pig range expansion, so movement by people is the spread risk to manage.",yes,
"Wild boar populations up, hunter numbers down: trends in Europe",Massei et al.,2015,Pest Management Science,Spread & human dimensions,Subscription,https://scijournals.onlinelibrary.wiley.com/doi/10.1002/ps.3965,10.1002/ps.3965,,,"Across 18 European countries, wild boar harvests rose steadily while hunter numbers stalled, indicating recreational hunting alone cannot contain population growth.",yes,
Consequences of the recent range expansion of nonnative feral swine,Bevins et al.,2014,BioScience,Spread & human dimensions,,https://academic.oup.com/bioscience/article/64/4/291/247827,,,,"A foundational overview of feral swine's rapid U.S. range expansion and the resulting risks to crops, native species, and animal and human health.",yes,
Estimation of the Number of Wild Pigs Found in the United States,Mayer,2014,Savannah River National Laboratory (SRNL-STI-2014-00292),Spread & human dimensions,Open access,https://doi.org/10.2172/1169581,10.2172/1169581,"national population estimate, abundance, state-by-state compilation",United States,"A state-by-state compilation putting the U.S. wild pig population at a mean of roughly 6.3 million animals, within a defensible range of 4.4 to 11.3 million. Ten states account for 99% of the total, and Texas alone for 41%.",no,
Evaluation of continuous-catch doors for trapping wild pigs,Smith et al.,2014,Wildlife Society Bulletin,Management & control,Subscription,https://wildlife.onlinelibrary.wiley.com/doi/10.1002/wsb.376,10.1002/wsb.376,,,"Continuous-catch trap doors let additional pigs enter after the door closes, improving whole-group capture in corral traps.",yes,
Reproduction in wild pigs subjected to lethal control,Ditchkoff et al.,2012,Journal of Wildlife Management,Ecology & impacts on wildlife,Subscription,https://wildlife.onlinelibrary.wiley.com/doi/10.1002/jwmg.356,10.1002/jwmg.356,,,"After intensive removal, female wild pigs showed density-dependent reproductive compensation, showing populations can rebound quickly after culling.",yes,
High hunting pressure selects for earlier birth date in wild boar,Gamelon et al.,2011,Evolution,Ecology & impacts on wildlife,,https://pubmed.ncbi.nlm.nih.gov/22023578/,,,,"A long-running study showing heavy hunting pressure pushed wild boar to breed earlier in the year, evidence that pig populations adapt to control efforts.",yes,
A test of the Judas technique for eradicating feral pigs,Wilcox et al.,2004,Transactions of the Western Section of the Wildlife Society,Management & control,,https://www.semanticscholar.org/paper/A-Test-of-the-Judas-Technique-as-a-Method-for-Feral-Aschehoug-Scott/7d911929fb671892aa850d64771a6c8407d19c97,,,,"A field test of the Judas technique, using radio-collared pigs to locate the rest, to help eradicate a remnant feral pig population.",yes,
